3.323		592.761		0.196
4.319		655.347		0.228
5.349		700.021		0.200
6.327		561.199		0.248
7.294		592.741		0.229
8.263		656.522		0.226
9.240		700.631		0.237
10.246		562.133		0.253
11.238		700.965		0.151
11.453		592.455		0.151
11.685		700.363		0.192
12.208		653.735		0.134
12.661		560.362		0.180
13.119		594.231		0.180
13.677		526.307		0.174
13.915		527.310		0.174
14.135		525.303		0.197
14.652		496.783		0.186
14.872		496.443		0.197
15.105		496.695		0.221
15.586		472.620		0.180
15.824		470.434		0.192
16.086		470.253		0.174
16.608		441.671		0.128
16.840		593.458		0.128
17.078		471.278		0.134
17.281		591.572		0.145
17.537		440.008		0.290
18.959		348.661		0.197
19.232		294.424		0.168
19.482		351.564		0.232
19.923		330.151		0.255
20.405		470.095		0.209
20.921		439.743		0.186
21.380		698.056		0.145
21.612		696.200		0.157
21.856		696.475		0.174
22.326		654.351		0.110
22.564		653.494		0.116
22.779		653.474		0.163
23.266		588.958		0.157
23.499		588.676		0.163
23.742		588.892		0.197
24.230		562.009		0.145
24.456		657.006		0.180
24.718		590.005		0.157
24.944		656.283		0.151
25.170		562.456		0.290
26.674		699.722		0.139
26.883		589.439		0.139
27.121		698.844		0.197
27.603		656.469		0.145
28.038		557.844		0.174
28.520		588.283		0.221
29.013		526.679		0.186
29.246		524.906		0.225
29.470		524.065		0.199
29.989		494.927		0.180
30.203		495.449		0.197
30.436		496.349		0.180
30.917		468.945		0.139
31.138		469.189		0.180
31.382		468.108		0.157
31.881		439.887		0.122
32.102		590.914		0.151
32.328		468.804		0.139
32.531		592.340		0.151
32.804		438.867		0.279
34.197		413.542		0.151
34.424		496.976		0.192
34.702		414.989		0.209
35.155		442.021		0.192
36.090		374.010		0.180
36.316		440.271		0.180
36.548		371.995		0.267
37.036		394.935		0.192
37.941		330.945		0.186
38.197		393.037		0.168
38.371		328.933		0.302
38.905		348.897		0.168
39.873		445.491		0.093
39.978		559.924		0.089
40.083		664.623		0.095
40.194		894.226		0.092
40.333		598.893		0.197
40.850		444.329		0.250
41.343		593.370		0.139
41.570		1001.810		0.157
41.826		655.939		0.098
42.046		1120.180		0.128
42.266		699.849		0.151
42.522		1187.850		0.122
42.725		786.153		0.151
42.974		1350.830		0.151
43.247		881.694		0.116
43.456		1427.120		0.134
43.730		695.924		0.108
43.938		1185.310		0.251
44.189		1125.410		0.237
44.693		438.630		0.157
