4.778		278.139		0.401
5.201		334.207		0.453
5.660		376.440		0.865
6.525		374.470		0.366
6.902		445.876		0.424
7.332		413.370		0.592
7.941		335.338		0.238
8.243		438.564		0.337
8.586		498.770		0.395
9.009		440.862		0.708
9.723		415.200		0.853
10.582		374.259		0.406
10.995		418.673		0.383
11.389		374.076		0.778
12.179		334.177		0.836
13.067		278.867		1.585
14.652		276.944		0.435
15.110		332.745		0.418
15.534		373.794		0.837
16.372		371.842		0.347
16.730		444.711		0.377
17.113		417.215		0.528
17.659		335.106		0.238
17.937		438.791		0.319
18.262		496.814		0.366
18.634		559.620		0.682
19.316		557.419		0.852
20.168		556.911		0.405
20.579		496.850		0.366
20.950		439.175		0.778
21.734		491.023		0.760
22.541		440.618		1.579
24.236		668.995		0.342
24.590		553.679		0.395
24.990		495.389		0.768
25.758		495.804		0.724
26.517		438.146		0.377
26.929		551.357		0.354
27.289		501.482		0.726
28.050		334.205		0.836
28.892		664.609		0.242
29.147		557.140		0.383
29.536		497.560		0.767
30.303		498.930		0.742
31.051		557.543		0.372
31.428		659.933		0.424
31.858		746.488		1.448
33.305		745.903		0.352
33.663		846.731		0.401
34.069		890.248		0.842
34.917		841.345		0.731
35.654		746.810		0.633
36.333		657.775		0.743
37.105		894.275		0.668
37.814		561.570		0.743
38.563		500.908		0.360
38.928		438.503		0.366
39.300		497.078		0.720
40.025		557.707		0.760
40.803		659.046		1.556
42.371		561.137		0.366
42.754		664.877		0.325
43.119		746.607		0.748
43.868		747.719		0.308
44.188		885.421		0.430
44.623		835.762		0.464
45.105		655.631		0.215
45.360		870.800		0.319
45.685		975.862		0.383
46.074		878.802		0.731
46.811		837.155		0.679
47.496		751.224		0.412
47.914		838.375		0.383
48.303		750.471		0.656
49.012		657.770		0.743
49.760		559.320		1.487
51.247		558.698		0.400
51.659		668.087		0.366
52.059		749.124		0.751
52.810		749.659		0.346
53.168		886.928		0.436
53.604		842.168		0.411
54.039		654.122		0.203
54.282		875.263		0.325
54.613		988.956		0.366
54.985		1103.260		0.701
55.686		1100.170		0.739
56.424		1100.010		0.389
56.819		997.057		0.401
57.226		876.350		0.819
58.050		990.391		0.969
59.025		876.937		2.485
