time,f0,confidence,loudness
0.0,624.396126531534,0.084581584,-6.12173794383716
0.01,626.4294274719845,0.10103899,-5.915565632414858
0.02,634.777256231658,0.11877844,-5.833600283621619
0.03,646.0808453768208,0.09679896,-5.815949262678954
0.04,651.2689726931258,0.1181314,-5.806972029274887
0.05,625.0773586879509,0.09863886,-5.798269098343249
0.06,627.3507842863805,0.11900911,-5.769926818358793
0.07,634.7696785605118,0.069832385,-5.754466112164612
0.08,645.7098234896212,0.14150047,-5.753359065223362
0.09,653.0005666038788,0.13038665,-5.764457327040561
0.1,657.5694392041008,0.10468727,-5.7550846903229305
0.11,659.8982001943918,0.11656913,-5.73242523457979
0.12,659.1059274902923,0.10872659,-5.736602984049302
0.13,660.1926494518033,0.0936434,-5.714124685126438
0.14,658.8674512312075,0.09431031,-5.698584600843638
0.15,625.067595306527,0.110417515,-5.691965500462405
0.16,626.1705689839798,0.092579275,-5.698168430692143
0.17,626.2088243692106,0.09468636,-5.7118217866017
0.18,634.330255812221,0.08111453,-5.728930643666413
0.19,651.636886862011,0.13325328,-5.759689713239819
0.2,659.2285198412463,0.12534282,-5.781656738076599
0.21,661.3331273937197,0.09169635,-5.787881112920406
0.22,647.980993245327,0.088724166,-5.778993934851198
0.23,636.7177381159967,0.088748425,-5.787909737738499
0.24,635.7331976887309,0.10000539,-5.804042952449914
0.25,644.7393134047607,0.10131705,-5.8190596831138945
0.26,657.78594993073,0.08225128,-5.801795970187285
0.27,625.2310553033363,0.09747845,-5.79193739867825
0.28,627.1974034074613,0.08718601,-5.770458787025806
0.29,633.8099980938575,0.1097818,-5.768345625831554
0.3,652.0253396931955,0.13200668,-5.776890552436764
0.31,652.7029597981067,0.12686539,-5.790488570002125
0.32,659.9837523077815,0.090930164,-5.814541597526579
0.33,659.3359824524936,0.07339758,-5.814759656394731
0.34,636.6207767830867,0.13023534,-5.801227261578859
0.35,634.7078220176938,0.110489756,-5.793123450061501
0.36,649.8981695764207,0.10773033,-5.790631028176049
0.37,625.3840895217564,0.077863485,-5.774264711941493
0.38,626.1202368142743,0.1125876,-5.768518529621897
0.39,634.2081117534752,0.06707573,-5.757593718095127
0.4,644.7499527978642,0.11405003,-5.757309582858881
0.41,653.2194001692953,0.13158199,-5.775263090246665
0.42,652.3995955273576,0.081118435,-5.796509733523869
0.43,659.8026071855013,0.06461525,-5.796909734265437
0.44,624.6667182584642,0.09769854,-5.774261689576219
0.45,634.6781628454177,0.086853206,-5.780799469413885
0.46,645.3374067788053,0.10864115,-5.802425835879805
