time,f0,confidence,loudness
0.0,646.468436825328,0.052184522,-5.964037565327603
0.01,646.1765324244143,0.080780745,-5.750674984661694
0.02,657.7536132810612,0.08524501,-5.659563860588288
0.03,625.3862154971919,0.10197088,-5.626735188161786
0.04,627.229001840853,0.08936459,-5.643772585535889
0.05,634.9712150211682,0.06711841,-5.679825943614255
0.06,631.2199053358943,0.06554526,-5.6901888632523265
0.07,630.2997068661348,0.06536108,-5.69205757213835
0.08,630.8110354503467,0.061055243,-5.723600454432539
0.09,637.1819885426015,0.063483566,-5.735781659004496
0.1,631.9324793382284,0.019378126,-5.7496707328721195
0.11,626.8703238246956,0.027070165,-5.777345774050497
0.12,626.8138657288046,0.087877095,-5.819228075008898
0.13,626.0562072551633,0.043116957,-5.852879067238115
0.14,626.5982834347687,0.056133628,-5.866581641156103
0.15,626.911281011427,0.10189816,-5.86102182616581
0.16,634.7396234293642,0.06973323,-5.861378673751511
0.17,645.3655848621283,0.13737112,-5.874817586417937
0.18,659.6507431391146,0.098422766,-5.897228608378881
0.19,589.0413988477185,0.060312063,-5.920842534311208
0.2,602.2337482602425,0.22832197,-5.937863026290736
0.21,623.8669087315284,0.056485742,-5.946273749325664
0.22,633.0691043605998,0.042840004,-5.977623977516086
0.23,634.5298439044561,0.039024264,-5.9807017242621034
0.24,645.4810959354902,0.12150794,-5.997781006090856
0.25,657.8292838142977,0.09448722,-6.0297688345214615
0.26,625.0807735036392,0.104346424,-6.046464203058551
0.27,627.6173462868483,0.093277305,-6.070292098151805
0.28,644.3645246592669,0.13338363,-6.06528231784371
0.29,651.9389440294107,0.1457561,-6.053745678296507
0.3,651.1390999658147,0.1027233,-6.053910752444336
0.31,658.4747967768691,0.106553346,-6.066428826124534
0.32,659.3706514166682,0.10174173,-6.067872982916821
0.33,658.9876951916143,0.12667578,-6.041925176119354
0.34,641.8632947618262,0.13676617,-6.015054157952678
0.35,644.7468885030876,0.11968821,-5.999867286602503
0.36,650.3500173458988,0.11509898,-5.992973339623399
0.37,625.334363488802,0.106153995,-5.98862170808959
0.38,633.9058389843905,0.10989073,-5.980014892810514
0.39,645.5609641300139,0.09733352,-5.9798043908291145
0.4,645.5152589374774,0.14670855,-5.9828588257460735
0.41,650.2901089360214,0.10114893,-5.971306588015873
0.42,599.1161479133743,0.08189359,-5.949565983825671
